2025-05-25 16:41:44 | INFO     | __main__:initialize_core_components:116 | Core components initialized successfully
2025-05-25 16:41:44 | INFO     | __main__:initialize_api_clients:135 | API clients initialized successfully
2025-05-25 16:41:44 | INFO     | __main__:initialize_business_services:174 | Business services initialized successfully
2025-05-25 16:41:44 | INFO     | src.qml_handlers.theme_manager:_load_custom_fonts:64 | Custom fonts loaded successfully
2025-05-25 16:41:44 | INFO     | __main__:initialize_qml_handlers:188 | QML handlers initialized successfully
2025-05-25 16:41:44 | INFO     | __main__:register_qml_types:204 | QML types registered successfully
2025-05-25 16:41:44 | INFO     | __main__:setup_context_properties:223 | QML context properties set up successfully
2025-05-25 16:41:44 | ERROR    | __main__:load_main_qml:238 | Failed to load QML file
2025-05-25 16:52:32 | INFO     | app_logging.log_manager:setup_logging:64 | Logging system initialized
2025-05-25 16:52:32 | INFO     | main:initialize_core_components:116 | Core components initialized successfully
2025-05-25 16:52:32 | INFO     | main:initialize_api_clients:135 | API clients initialized successfully
2025-05-25 16:52:32 | INFO     | main:initialize_business_services:174 | Business services initialized successfully
2025-05-25 16:52:32 | INFO     | qml_handlers.theme_manager:_load_custom_fonts:64 | Custom fonts loaded successfully
2025-05-25 16:52:32 | INFO     | main:initialize_qml_handlers:188 | QML handlers initialized successfully
2025-05-25 16:52:32 | INFO     | main:register_qml_types:204 | QML types registered successfully
2025-05-25 16:52:32 | INFO     | main:setup_context_properties:223 | QML context properties set up successfully
2025-05-25 16:52:32 | ERROR    | main:load_main_qml:238 | Failed to load QML file
2025-05-25 16:59:39 | INFO     | app_logging.log_manager:setup_logging:64 | Logging system initialized
2025-05-25 16:59:39 | INFO     | main:initialize_core_components:116 | Core components initialized successfully
2025-05-25 16:59:39 | INFO     | main:initialize_api_clients:135 | API clients initialized successfully
2025-05-25 16:59:39 | INFO     | main:initialize_business_services:174 | Business services initialized successfully
2025-05-25 16:59:39 | INFO     | qml_handlers.theme_manager:_load_custom_fonts:64 | Custom fonts loaded successfully
2025-05-25 16:59:39 | INFO     | main:initialize_qml_handlers:188 | QML handlers initialized successfully
2025-05-25 16:59:39 | INFO     | main:register_qml_types:204 | QML types registered successfully
2025-05-25 16:59:39 | INFO     | main:setup_context_properties:223 | QML context properties set up successfully
2025-05-25 16:59:39 | ERROR    | main:load_main_qml:238 | Failed to load QML file
2025-05-25 17:00:40 | INFO     | app_logging.log_manager:setup_logging:64 | Logging system initialized
2025-05-25 17:00:40 | INFO     | main:initialize_core_components:116 | Core components initialized successfully
2025-05-25 17:00:40 | INFO     | main:initialize_api_clients:135 | API clients initialized successfully
2025-05-25 17:00:40 | INFO     | main:initialize_business_services:174 | Business services initialized successfully
2025-05-25 17:00:40 | INFO     | qml_handlers.theme_manager:_load_custom_fonts:64 | Custom fonts loaded successfully
2025-05-25 17:00:40 | INFO     | main:initialize_qml_handlers:188 | QML handlers initialized successfully
2025-05-25 17:00:40 | INFO     | main:register_qml_types:204 | QML types registered successfully
2025-05-25 17:00:40 | INFO     | main:setup_context_properties:223 | QML context properties set up successfully
2025-05-25 17:00:41 | ERROR    | main:load_main_qml:238 | Failed to load QML file
2025-05-25 17:05:39 | INFO     | app_logging.log_manager:setup_logging:64 | Logging system initialized
2025-05-25 17:05:39 | INFO     | main:initialize_core_components:116 | Core components initialized successfully
2025-05-25 17:05:39 | INFO     | main:initialize_api_clients:135 | API clients initialized successfully
2025-05-25 17:05:39 | INFO     | main:initialize_business_services:174 | Business services initialized successfully
2025-05-25 17:05:39 | INFO     | qml_handlers.theme_manager:_load_custom_fonts:64 | Custom fonts loaded successfully
2025-05-25 17:05:39 | INFO     | main:initialize_qml_handlers:188 | QML handlers initialized successfully
2025-05-25 17:05:39 | INFO     | main:register_qml_types:204 | QML types registered successfully
2025-05-25 17:05:39 | INFO     | main:setup_context_properties:223 | QML context properties set up successfully
2025-05-25 17:05:40 | ERROR    | main:load_main_qml:238 | Failed to load QML file
2025-05-25 17:10:27 | INFO     | app_logging.log_manager:setup_logging:64 | Logging system initialized
2025-05-25 17:10:27 | INFO     | main:initialize_core_components:116 | Core components initialized successfully
2025-05-25 17:10:27 | INFO     | main:initialize_api_clients:135 | API clients initialized successfully
2025-05-25 17:10:27 | INFO     | main:initialize_business_services:174 | Business services initialized successfully
2025-05-25 17:10:27 | INFO     | qml_handlers.theme_manager:_load_custom_fonts:64 | Custom fonts loaded successfully
2025-05-25 17:10:27 | INFO     | main:initialize_qml_handlers:188 | QML handlers initialized successfully
2025-05-25 17:10:27 | INFO     | main:register_qml_types:207 | QML types registered successfully
